fst_chr	fst_midPos	FST	Z	chr	start	end	gene_id	description	biotype	Chr	pos_Mb
NC_133882.1	15825001	0.04626	-1.0855178133751435	NC_133882.1	15800387	15804661	LOC141890383	uncharacterized LOC141890383	protein_coding	Chr1	15.83
NC_133882.1	15825001	0.04626	-1.0855178133751435	NC_133882.1	15806757	15818988	LOC141877072	uncharacterized LOC141877072	protein_coding	Chr1	15.83
NC_133882.1	15825001	0.04626	-1.0855178133751435	NC_133882.1	15847823	15851540	LOC141877265	uncharacterized LOC141877265	lncRNA	Chr1	15.83
NC_133882.1	15845001	0.055255	-1.0568656346369085	NC_133882.1	15863714	15886680	LOC141889074	plexin domain-containing protein 2-like	protein_coding	Chr1	15.85
NC_133882.1	15845001	0.055255	-1.0568656346369085	NC_133882.1	15865211	15866705	LOC141889087	uncharacterized LOC141889087	lncRNA	Chr1	15.85
NC_133882.1	16315001	0.037531	-1.1133226903296798	NC_133882.1	16273764	16332122	LOC141889631	uncharacterized LOC141889631	protein_coding	Chr1	16.32
NC_133882.1	16355001	0.03641	-1.1168934621324103	NC_133882.1	16372371	16374881	LOC141894961	adrenocorticotropic hormone receptor-like	protein_coding	Chr1	16.36
NC_133882.1	16365001	0.037894	-1.1121664100759856	NC_133882.1	16385650	16389821	LOC141891822	uncharacterized LOC141891822	protein_coding	Chr1	16.37
NC_133882.1	16435001	0.054154	-1.0603726995386091	NC_133882.1	16403672	16457153	LOC141860236	spatacsin-like	protein_coding	Chr1	16.44
NC_133882.1	16435001	0.054154	-1.0603726995386091	NC_133882.1	16457236	16462690	LOC141860259	protein FAM219A-like	protein_coding	Chr1	16.44
NC_133882.1	16445001	0.047711	-1.0808958777054183	NC_133882.1	16465213	16486795	LOC141860250	peptidyl-glycine alpha-amidating monooxygenase B-like	protein_coding	Chr1	16.45
NC_133882.1	16525001	0.053504	-1.0624431738220834	NC_133882.1	16498290	16503978	LOC141894195	divergent protein kinase domain 1B-like	protein_coding	Chr1	16.53
NC_133882.1	16525001	0.053504	-1.0624431738220834	NC_133882.1	16511655	16518570	LOC141891901	alpha-1D adrenergic receptor-like	protein_coding	Chr1	16.53
NC_133882.1	16525001	0.053504	-1.0624431738220834	NC_133882.1	16529108	16549942	LOC141858939	uncharacterized LOC141858939	protein_coding	Chr1	16.53
NC_133882.1	16605001	0.05504	-1.0575504838229808	NC_133882.1	16587054	16593970	LOC141892185	alpha-1D adrenergic receptor-like	protein_coding	Chr1	16.61
NC_133882.1	16605001	0.05504	-1.0575504838229808	NC_133882.1	16604561	16627634	LOC141858919	uncharacterized LOC141858919	protein_coding	Chr1	16.61
NC_133882.1	16605001	0.05504	-1.0575504838229808	NC_133882.1	16620614	16620688	Trnaa-ggc	transfer RNA alanine (anticodon GGC)	tRNA	Chr1	16.61
NC_133882.1	16615001	0.046849	-1.0836416451398103	NC_133882.1	16637063	16646118	LOC141858962	uncharacterized LOC141858962	protein_coding	Chr1	16.62
NC_133882.1	16625001	0.042862	-1.0963416158601376	NC_133882.1	16646689	16680745	LOC141858951	coiled-coil domain-containing protein 87-like	protein_coding	Chr1	16.63
NC_133882.1	19865001	0.022467	-1.1613067281854632	NC_133882.1	19836405	19842070	LOC141877416	uncharacterized LOC141877416	protein_coding	Chr1	19.87
NC_133882.1	19865001	0.022467	-1.1613067281854632	NC_133882.1	19842244	19844408	LOC141877398	uncharacterized LOC141877398	protein_coding	Chr1	19.87
NC_133882.1	19865001	0.022467	-1.1613067281854632	NC_133882.1	19844660	19846999	LOC141877395	uncharacterized LOC141877395	protein_coding	Chr1	19.87
NC_133882.1	19865001	0.022467	-1.1613067281854632	NC_133882.1	19852062	19855236	LOC141877408	surfeit locus protein 4 homolog	protein_coding	Chr1	19.87
NC_133882.1	19865001	0.022467	-1.1613067281854632	NC_133882.1	19855766	19883115	LOC141895030	axonemal dynein light chain domain-containing protein 1-like	protein_coding	Chr1	19.87
NC_133882.1	19865001	0.022467	-1.1613067281854632	NC_133882.1	19884000	19890396	LOC141895140	protein mono-ADP-ribosyltransferase TIPARP-like	protein_coding	Chr1	19.87
NC_133882.1	19875001	0.044561	-1.0909297146176407	NC_133882.1	19890741	19899842	LOC141895056	protein mono-ADP-ribosyltransferase PARP12-like	protein_coding	Chr1	19.88
NC_133882.1	20895001	0.052936	-1.064252449811335	NC_133882.1	20858438	20874253	LOC141874884	whirlin-like	protein_coding	Chr1	20.9
NC_133882.1	20895001	0.052936	-1.064252449811335	NC_133882.1	20874522	20959028	LOC141874865	E3 ubiquitin-protein ligase rnf213-alpha-like	protein_coding	Chr1	20.9
NC_133882.1	20935001	0.022608	-1.1608575945332018	NC_133882.1	20958346	20966192	LOC141874879	uncharacterized LOC141874879	protein_coding	Chr1	20.94
NC_133882.1	20955001	0.016197	-1.1812788416583628	NC_133882.1	20970535	21064073	LOC141890307	E3 ubiquitin-protein ligase rnf213-alpha-like	protein_coding	Chr1	20.96
NC_133882.1	20985001	0.045834	-1.0868747703670822	NC_133882.1	21003331	21005534	LOC141890325	uncharacterized LOC141890325	protein_coding	Chr1	20.99
NC_133882.1	21965001	0.050694	-1.0713939934167962	NC_133882.1	21952719	21958430	LOC141889358	uncharacterized LOC141889358	protein_coding	Chr1	21.97
NC_133882.1	21965001	0.050694	-1.0713939934167962	NC_133882.1	21975981	21982529	LOC141877608	acyl-CoA-binding domain-containing protein 6-like	protein_coding	Chr1	21.97
NC_133882.1	21965001	0.050694	-1.0713939934167962	NC_133882.1	21982699	21992276	LOC141877596	delta-aminolevulinic acid dehydratase-like	protein_coding	Chr1	21.97
NC_133882.1	21975001	0.03711	-1.114663720596361	NC_133882.1	21992290	21997474	LOC141877627	ubiquitin-like protein 5	protein_coding	Chr1	21.98
NC_133882.1	21975001	0.03711	-1.114663720596361	NC_133882.1	21999404	22005398	LOC141877617	uncharacterized LOC141877617	protein_coding	Chr1	21.98
NC_133882.1	26705001	0.051525	-1.0687469716790006	NC_133882.1	26686875	26716560	LOC141873130	uncharacterized LOC141873130	protein_coding	Chr1	26.71
NC_133882.1	26705001	0.051525	-1.0687469716790006	NC_133882.1	26717591	26733572	LOC141884792	nicotinamide phosphoribosyltransferase-like	protein_coding	Chr1	26.71
NC_133882.1	26815001	0.048404	-1.0786884335847293	NC_133882.1	26797020	26798077	LOC141891818	melatonin receptor type 1A-like	protein_coding	Chr1	26.82
NC_133882.1	26815001	0.048404	-1.0786884335847293	NC_133882.1	26808935	26811887	LOC141884233	uncharacterized LOC141884233	protein_coding	Chr1	26.82
NC_133882.1	26815001	0.048404	-1.0786884335847293	NC_133882.1	26812948	26813432	LOC141892578	uncharacterized LOC141892578	lncRNA	Chr1	26.82
NC_133882.1	26815001	0.048404	-1.0786884335847293	NC_133882.1	26813569	26818771	LOC141892585	uncharacterized LOC141892585	lncRNA	Chr1	26.82
NC_133882.1	26815001	0.048404	-1.0786884335847293	NC_133882.1	26819501	26832677	LOC141875444	uncharacterized LOC141875444	protein_coding	Chr1	26.82
NC_133882.1	26815001	0.048404	-1.0786884335847293	NC_133882.1	26833990	26862884	LOC141875437	choline transporter-like protein 4	protein_coding	Chr1	26.82
NC_133882.1	30595001	0.044811	-1.0901333783547658	NC_133882.1	30571857	30577169	LOC141890796	uncharacterized LOC141890796	lncRNA	Chr1	30.6
NC_133882.1	30595001	0.044811	-1.0901333783547658	NC_133882.1	30592276	30593100	LOC141892017	uncharacterized LOC141892017	protein_coding	Chr1	30.6
NC_133882.1	30595001	0.044811	-1.0901333783547658	NC_133882.1	30599537	30601203	LOC141891304	uncharacterized LOC141891304	lncRNA	Chr1	30.6
NC_133882.1	30595001	0.044811	-1.0901333783547658	NC_133882.1	30604126	30607162	LOC141859715	uncharacterized LOC141859715	protein_coding	Chr1	30.6
NC_133882.1	30595001	0.044811	-1.0901333783547658	NC_133882.1	30609177	30617938	LOC141859680	uncharacterized LOC141859680	protein_coding	Chr1	30.6
NC_133882.1	30595001	0.044811	-1.0901333783547658	NC_133882.1	30618555	30634500	LOC141859666	TNF receptor-associated factor 3-like	protein_coding	Chr1	30.6
NC_133882.1	30615001	0.027794	-1.1443383950961272	NC_133882.1	30635098	30638537	LOC141859726	uncharacterized LOC141859726	lncRNA	Chr1	30.62
NC_133882.1	30625001	0.019392	-1.171101664218823	NC_133882.1	30642643	30650591	LOC141859650	TNF receptor-associated factor 2-like	protein_coding	Chr1	30.63
NC_133882.1	30625001	0.019392	-1.171101664218823	NC_133882.1	30644840	30645856	LOC141859731	uncharacterized LOC141859731	lncRNA	Chr1	30.63
NC_133882.1	30635001	0.019117	-1.1719776341079855	NC_133882.1	30652321	30672762	LOC141859693	uncharacterized LOC141859693	protein_coding	Chr1	30.64
NC_133882.1	30645001	0.02159	-1.1641002757956278	NC_133882.1	30665001	30668716	LOC141859687	uncharacterized LOC141859687	protein_coding	Chr1	30.65
NC_133882.1	30665001	0.029856	-1.137770213599936	NC_133882.1	30683300	30685308	LOC141876384	uncharacterized LOC141876384	protein_coding	Chr1	30.67
NC_133882.1	30665001	0.029856	-1.137770213599936	NC_133882.1	30685566	30689142	LOC141876382	uncharacterized LOC141876382	protein_coding	Chr1	30.67
NC_133882.1	30665001	0.029856	-1.137770213599936	NC_133882.1	30689167	30696774	LOC141876373	dolichyldiphosphatase 1-like	protein_coding	Chr1	30.67
NC_133882.1	30705001	0.046587	-1.0844762055433033	NC_133882.1	30697433	30710811	LOC141876345	carnitine O-acetyltransferase-like	protein_coding	Chr1	30.71
NC_133882.1	30705001	0.046587	-1.0844762055433033	NC_133882.1	30713578	30717674	LOC141867664	palmitoyltransferase ZDHHC12-A-like	protein_coding	Chr1	30.71
NC_133882.1	30705001	0.046587	-1.0844762055433033	NC_133882.1	30718407	30731099	LOC141867298	uncharacterized LOC141867298	protein_coding	Chr1	30.71
NC_133882.1	30705001	0.046587	-1.0844762055433033	NC_133882.1	30721529	30722777	LOC141867819	uncharacterized LOC141867819	lncRNA	Chr1	30.71
NC_133882.1	30715001	0.040098	-1.1051459095824812	NC_133882.1	30733363	30743509	LOC141867926	uncharacterized LOC141867926	protein_coding	Chr1	30.72
NC_133882.1	30775001	0.038252	-1.1110260565475487	NC_133882.1	30750724	30754855	LOC141868296	heparan sulfate 2-O-sulfotransferase 1-like	protein_coding	Chr1	30.78
NC_133882.1	30775001	0.038252	-1.1110260565475487	NC_133882.1	30755230	30756883	LOC141887187	uncharacterized LOC141887187	lncRNA	Chr1	30.78
NC_133882.1	30775001	0.038252	-1.1110260565475487	NC_133882.1	30756889	30759889	LOC141887182	uncharacterized LOC141887182	lncRNA	Chr1	30.78
NC_133882.1	30775001	0.038252	-1.1110260565475487	NC_133882.1	30775582	30776405	LOC141863232	uncharacterized LOC141863232	protein_coding	Chr1	30.78
NC_133882.1	30775001	0.038252	-1.1110260565475487	NC_133882.1	30785606	30786932	LOC141891444	uncharacterized LOC141891444	lncRNA	Chr1	30.78
NC_133882.1	30775001	0.038252	-1.1110260565475487	NC_133882.1	30798159	30801682	LOC141886602	uncharacterized LOC141886602	protein_coding	Chr1	30.78
NC_133882.1	30785001	0.03064	-1.1352729030795605	NC_133882.1	30802253	30906033	LOC141886585	E3 ubiquitin-protein ligase rnf213-alpha-like	protein_coding	Chr1	30.79
NC_133882.1	30815001	0.034687	-1.1223818116561433	NC_133882.1	30833550	30833624	Trnaa-ggc	transfer RNA alanine (anticodon GGC)	tRNA	Chr1	30.82
NC_133882.1	30815001	0.034687	-1.1223818116561433	NC_133882.1	30833792	30833866	Trnaa-ggc	transfer RNA alanine (anticodon GGC)	tRNA	Chr1	30.82
NC_133882.1	30875001	0.044127	-1.0923121543699912	NC_133882.1	30894679	30897020	LOC141890578	uncharacterized LOC141890578	protein_coding	Chr1	30.88
NC_133882.1	30915001	0.048514	-1.0783380456290643	NC_133882.1	30907932	30910159	LOC141886609	NADPH-dependent diflavin oxidoreductase 1-like	protein_coding	Chr1	30.92
NC_133882.1	30955001	0.048995	-1.0768058946592933	NC_133882.1	30979131	31027098	LOC141886594	E3 ubiquitin-protein ligase rnf213-alpha-like	protein_coding	Chr1	30.96
NC_133882.1	31005001	0.046453	-1.0849030417802041	NC_133882.1	31028135	31029432	LOC141895451	uncharacterized LOC141895451	lncRNA	Chr1	31.01
NC_133882.1	31015001	0.050077	-1.073359351313571	NC_133882.1	31035768	31046532	LOC141883458	NADPH-dependent diflavin oxidoreductase 1-like	protein_coding	Chr1	31.02
NC_133882.1	31025001	0.049987	-1.073646032368206	NC_133882.1	31046544	31048240	LOC141883462	adenylate kinase isoenzyme 5-like	protein_coding	Chr1	31.03
NC_133882.1	31025001	0.049987	-1.073646032368206	NC_133882.1	31048143	31056382	LOC141883451	uncharacterized LOC141883451	protein_coding	Chr1	31.03
NC_133882.1	31035001	0.053016	-1.0639976222072152	NC_133882.1	31057918	31072727	LOC141887210	adenylate kinase isoenzyme 5-like	protein_coding	Chr1	31.04
NC_133883.1	14095001	0.048588	-1.413441370508109	NC_133883.1	14069423	14071747	LOC141874849	uncharacterized LOC141874849	protein_coding	Chr2	14.1
NC_133883.1	14095001	0.048588	-1.413441370508109	NC_133883.1	14082338	14086319	LOC141873610	uncharacterized LOC141873610	protein_coding	Chr2	14.1
NC_133883.1	14105001	0.044129	-1.426678152850824	NC_133883.1	14128223	14139619	LOC141874009	uncharacterized LOC141874009	protein_coding	Chr2	14.11
NC_133883.1	14105001	0.044129	-1.426678152850824	NC_133883.1	14128559	14131127	LOC141874010	uncharacterized LOC141874010	lncRNA	Chr2	14.11
NC_133883.1	18505001	0.054763	-1.3951105494795677	NC_133883.1	18498642	18508742	LOC141874502	uncharacterized LOC141874502	protein_coding	Chr2	18.51
NC_133883.1	18505001	0.054763	-1.3951105494795677	NC_133883.1	18520711	18527143	LOC141871704	serine protease inhibitor dipetalogastin-like	protein_coding	Chr2	18.51
NC_133883.1	18505001	0.054763	-1.3951105494795677	NC_133883.1	18527062	18564614	LOC141871688	Fanconi anemia group I protein-like	protein_coding	Chr2	18.51
NC_133884.1	6135001	0.04918	-1.3118638183676947	NC_133884.1	6084153	6114105	LOC141876862	uncharacterized LOC141876862	protein_coding	Chr3	6.14
NC_133884.1	6135001	0.04918	-1.3118638183676947	NC_133884.1	6137169	6149151	LOC141876852	uncharacterized LOC141876852	lncRNA	Chr3	6.14
NC_133884.1	6135001	0.04918	-1.3118638183676947	NC_133884.1	6153284	6166634	LOC141876851	importin subunit alpha-1-like	protein_coding	Chr3	6.14
NC_133884.1	6145001	0.053572	-1.2985808059294597	NC_133884.1	6169366	6190209	LOC141876582	DNA repair-scaffolding protein-like	protein_coding	Chr3	6.15
NC_133884.1	6175001	0.036016	-1.3516765632986882	NC_133884.1	6197368	6203926	LOC141877186	protein APCDD1-like	protein_coding	Chr3	6.18
NC_133884.1	6185001	0.034328	-1.3567816919407056	NC_133884.1	6203950	6211632	LOC141877189	uncharacterized LOC141877189	lncRNA	Chr3	6.19
NC_133884.1	6195001	0.023543	-1.3893994718009883	NC_133884.1	6213466	6214831	LOC141877188	uncharacterized LOC141877188	lncRNA	Chr3	6.2
NC_133884.1	6195001	0.023543	-1.3893994718009883	NC_133884.1	6215640	6242323	LOC141877185	nose resistant to fluoxetine protein 6-like	protein_coding	Chr3	6.2
NC_133884.1	6205001	0.032786	-1.361445263247572	NC_133884.1	6222946	6225130	LOC141877190	uncharacterized LOC141877190	lncRNA	Chr3	6.21
NC_133884.1	6375001	0.040163	-1.33913452036122	NC_133884.1	6333783	6352583	LOC141875641	uncharacterized LOC141875641	protein_coding	Chr3	6.38
NC_133884.1	6375001	0.040163	-1.33913452036122	NC_133884.1	6349638	6358862	LOC141875642	gamma-soluble NSF attachment protein-like	protein_coding	Chr3	6.38
NC_133884.1	6375001	0.040163	-1.33913452036122	NC_133884.1	6361217	6363778	LOC141876441	uncharacterized LOC141876441	protein_coding	Chr3	6.38
NC_133884.1	6375001	0.040163	-1.33913452036122	NC_133884.1	6371589	6374142	LOC141876331	uncharacterized LOC141876331	protein_coding	Chr3	6.38
NC_133884.1	6375001	0.040163	-1.33913452036122	NC_133884.1	6378585	6380286	LOC141876322	tubulin polymerization-promoting protein family member 2-like	protein_coding	Chr3	6.38
NC_133884.1	6375001	0.040163	-1.33913452036122	NC_133884.1	6382060	6393199	LOC141876319	centrosomal protein of 72 kDa-like	protein_coding	Chr3	6.38
NC_133884.1	6375001	0.040163	-1.33913452036122	NC_133884.1	6396357	6402178	LOC141876323	uncharacterized LOC141876323	lncRNA	Chr3	6.38
NC_133884.1	6385001	0.042523	-1.3319970182313854	NC_133884.1	6406860	6409219	LOC141876324	uncharacterized LOC141876324	lncRNA	Chr3	6.39
NC_133884.1	6395001	0.038644	-1.3437285312659737	NC_133884.1	6411374	6412723	LOC141876320	uncharacterized LOC141876320	protein_coding	Chr3	6.4
NC_133884.1	6395001	0.038644	-1.3437285312659737	NC_133884.1	6416461	6418238	LOC141877192	transcription factor Maf-like	protein_coding	Chr3	6.4
NC_133884.1	6405001	0.053657	-1.2983237348781735	NC_133884.1	6420701	6454540	LOC141877191	uncharacterized LOC141877191	protein_coding	Chr3	6.41
NC_133884.1	6435001	0.037694	-1.3466016783097632	NC_133884.1	6456933	6460849	LOC141875737	uncharacterized LOC141875737	protein_coding	Chr3	6.44
NC_133884.1	6455001	0.052468	-1.301919705230874	NC_133884.1	6470874	6493236	LOC141875738	uncharacterized LOC141875738	protein_coding	Chr3	6.46
NC_133884.1	6455001	0.052468	-1.301919705230874	NC_133884.1	6471771	6475228	LOC141875741	uncharacterized LOC141875741	lncRNA	Chr3	6.46
NC_133884.1	7055001	0.050354	-1.308313213494633	NC_133884.1	7019444	7052144	LOC141876578	uncharacterized LOC141876578	protein_coding	Chr3	7.06
NC_133884.1	7055001	0.050354	-1.308313213494633	NC_133884.1	7052193	7054086	LOC141876581	uncharacterized LOC141876581	lncRNA	Chr3	7.06
NC_133884.1	7055001	0.050354	-1.308313213494633	NC_133884.1	7063393	7128316	LOC141875747	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-like	protein_coding	Chr3	7.06
NC_133884.1	7055001	0.050354	-1.308313213494633	NC_133884.1	7064257	7068836	LOC141875750	dynein axonemal heavy chain 8-like	protein_coding	Chr3	7.06
NC_133884.1	7055001	0.050354	-1.308313213494633	NC_133884.1	7067838	7095339	LOC141875749	uncharacterized LOC141875749	protein_coding	Chr3	7.06
NC_133884.1	19875001	0.041211	-1.335964985517124	NC_133884.1	19840640	19854270	LOC141877379	ubiquitin carboxyl-terminal hydrolase 39-like	protein_coding	Chr3	19.88
NC_133884.1	19875001	0.041211	-1.335964985517124	NC_133884.1	19851591	19854765	LOC141877400	uncharacterized LOC141877400	lncRNA	Chr3	19.88
NC_133884.1	19875001	0.041211	-1.335964985517124	NC_133884.1	19856024	19871031	LOC141877381	fibronectin type 3 and ankyrin repeat domains protein 1-like	protein_coding	Chr3	19.88
NC_133884.1	19875001	0.041211	-1.335964985517124	NC_133884.1	19871106	19874912	LOC141877396	transmembrane protein 101-like	protein_coding	Chr3	19.88
NC_133884.1	19875001	0.041211	-1.335964985517124	NC_133884.1	19874632	19912636	LOC141877365	condensin-2 complex subunit D3-L-like	protein_coding	Chr3	19.88
NC_133884.1	19875001	0.041211	-1.335964985517124	NC_133884.1	19881949	19884855	LOC141877406	uncharacterized LOC141877406	lncRNA	Chr3	19.88
NC_133884.1	19895001	0.032834	-1.361300093712728	NC_133884.1	19914492	19915536	LOC141876907	uncharacterized LOC141876907	lncRNA	Chr3	19.9
NC_133884.1	19895001	0.032834	-1.361300093712728	NC_133884.1	19915701	20014013	LOC141877362	uncharacterized LOC141877362	protein_coding	Chr3	19.9
NC_133884.1	19905001	0.035598	-1.3529407479979552	NC_133884.1	19924226	19937745	LOC141877796	uncharacterized LOC141877796	protein_coding	Chr3	19.91
NC_133884.1	19965001	0.03222	-1.3631570540126088	NC_133884.1	19981950	20007200	LOC141877392	Fanconi anemia core complex-associated protein 24-like	protein_coding	Chr3	19.97
NC_133884.1	20045001	0.054579	-1.2955352700630434	NC_133884.1	20034691	20052420	LOC141877397	uncharacterized LOC141877397	protein_coding	Chr3	20.05
